source_id,categories,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
47588,Entrées,Honey Pepper Pimento Sandwich w/ Grilled Filet,201,450,20,7,0,100,940,42,1,15,30
10455,Salads,Cobb Salad,411,830,60,13,0,225,2180,31,5,8,41
10457,Salads,Cobb Salad w/ Nuggets,411,830,60,13,0,225,2180,31,5,8,41
10460,Salads,Cobb Salad w/ Spicy Grilled Filet (Cold),369,600,45,10,0,205,1610,16,5,8,33
10464,Salads,Cobb Salad w/ Grilled Nuggets,378,630,45,10,0,225,1330,16,5,8,39
10467,Salads,Cobb Salad w/ Chick-fil-A Chick-n-Strips®,420,810,56,12,0,215,1750,31,5,9,43
10470,Salads,Cobb Salad w/ Grilled Filet (Cold),369,610,44,10,0,210,1260,16,5,8,35
10473,Salads,Cobb Salad w/ Grilled Filet (Warm),368,600,44,10,0,210,1260,16,5,8,35
10476,Salads,Cobb Salad w/ No Chicken,284,500,42,9.5,0,140,890,15,5,7,14
10478,Salads,Spicy Southwest Salad,424,680,49,10,0,100,1570,27,7,7,33
10480,Salads,Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),424,680,49,10,0,100,1570,27,7,7,33
10484,Salads,Spicy Southwest Salad w/ Grilled Filet (Cold),424,680,48,9.5,0,110,1220,26,7,7,35
10486,Salads,Spicy Southwest Salad w/ Nuggets,448,800,56,11,0,120,2050,35,7,7,39
10488,Salads,Spicy Southwest Salad w/ Grilled Nuggets,434,700,49,10,0,125,1290,26,7,7,39
10490,Salads,Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,475,880,60,12,0,115,1710,41,7,8,43
10492,Salads,Spicy Southwest Salad w/ Grilled Filet (Warm),423,680,48,9.5,0,110,1220,26,7,7,35
10494,Salads,Spicy Southwest Salad w/ No Chicken,339,570,47,9.5,0,35,850,25,7,6,14
10496,Salads,Market Salad,326,550,31,6,0,80,1010,42,5,26,28
10498,Salads,Market Salad w/ Grilled Filet (Cold),326,550,31,6,0,80,1010,42,5,26,28
10501,Salads,Market Salad w/ Spicy Grilled Filet (Cold),326,540,31,6,0,70,1360,42,6,27,26
10503,Salads,Market Salad w/ Chick-fil-A Chick-n-Strips®,377,750,43,8,0,85,1500,57,5,27,36
10505,Salads,Market Salad w/ Nuggets,354,700,40,8,0,90,1850,51,5,27,34
10507,Salads,Market Salad w/ Grilled Nuggets,335,570,32,6,0,95,1080,41,6,27,32
10509,Salads,Market Salad w/ Grilled Filet (Warm),325,550,31,6,0,80,1010,42,5,26,28
10511,Salads,Market Salad w/ No Chicken,241,440,29,5.5,0,10,640,40,5,26,7
576,Sides,Kale Crunch Side,112,170,12,1.5,0,0,250,13,4,8,4
581,Sides,Chick-fil-A Waffle Potato Fries®,125,420,24,4,0,0,240,45,5,1,5
10338,Sides,Small Chick-fil-A Waffle Potato Fries®,96,320,19,3,0,0,190,35,4,1,4
10223,Sides,Medium Chick-fil-A Waffle Potato Fries®,125,420,24,4,0,0,240,45,5,1,5
10340,Sides,Large Chick-fil-A Waffle Potato Fries®,179,600,35,5,0,0,340,65,7,1,7
10342,Sides,Mac & Cheese,227,450,29,16,0,70,1190,28,3,3,20
10344,Sides,Small Mac & Cheese,136,270,17,10,0,40,710,17,2,2,12
10225,Sides,Medium Mac & Cheese,227,450,29,16,0,70,1190,28,3,3,20
10346,Sides,Chicken Noodle Soup,252,190,4.5,1,0,30,1290,27,2,2,11
10233,Sides,Cup of Chicken Noodle Soup,252,190,4.5,1,0,30,1290,27,2,2,11
10348,Sides,Bowl of Chicken Noodle Soup,476,320,8,2,0,60,2280,42,3,3,20
10237,Sides,Side Salad,166,470,42,8,0,35,700,14,4,5,6
34595,Sides,Chicken Tortilla Soup,265,280,7,2.5,0,50,1060,31,17,4,24
10256,Sides,Original Flavor Waffle Potato Chips,43,220,13,3.5,0,0,250,25,2,0,3
10351,Sides,Buddy Fruits® Apple Sauce,90,45,0,0,0,0,0,12,1,8,0
32963,Sides,Chick-fil-A® Sauce Flavored Waffle Potato Chips,43,210,12,3,0,0,330,26,2,3,3
10546,Kid's Meals (nutrition per entrée only),5 Ct Nuggets Kid's Meal,71,160,7,1.5,0,50,760,7,0,1,17
10556,Kid's Meals (nutrition per entrée only),2 Ct Chick-n-Strips® Kid's Meal,91,200,9,2,0,50,580,11,0,1,19
10558,Kid's Meals (nutrition per entrée only),5 Ct Grilled Nuggets Kid's Meal,59,80,2,0,0,55,270,1,0,0,16
47598,Kid's Meals (nutrition per entrée only),Mac & Cheese Kid’s Meal,227,450,29,16,0,70,1190,28,3,3,20
10076,Treats,Peach Frosted Lemonade,383,440,7,4.5,0,25,210,91,1,88,7
10078,Treats,Peach Frosted Lemonade,383,440,7,4.5,0,25,210,91,1,88,7
10079,Treats,Peach Frosted Lemonade w/ Diet Lemonade,383,440,7,4.5,0,25,210,91,1,88,7
10513,Treats,Pineapple Dragonfruit Frosted Lemonade,375,360,7,4.5,0,25,150,70,0,63,7
10101,Treats,Pineapple Dragonfruit Frosted Lemonade,375,360,7,4.5,0,25,150,70,0,63,7
10102,Treats,Pineapple Dragonfruit Frosted Lemonade w/ Diet Lemonade,375,300,7,4.5,0,25,150,54,0,48,7
10525,Treats,Chocolate Chunk Cookie,78,370,17,9,0,15,230,49,3,26,5
10262,Treats,Chocolate Chunk Cookie,78,370,17,9,0,15,230,49,3,26,5
10527,Treats,6 pack Chocolate Chunk Cookie,78,370,17,9,0,15,230,49,3,26,5
10264,Treats,Chocolate Fudge Brownie,85,370,21,8,0,65,140,47,2,35,4
10514,Treats,Frosted Lemonade,383,350,7,4.5,0,25,135,67,0,65,7
10516,Treats,Frosted Lemonade,383,350,7,4.5,0,25,135,67,0,65,7
10517,Treats,Frosted Lemonade w/ Diet Lemonade,383,280,7,4.5,0,25,140,50,0,48,7
39783,Treats,Frosted Sodas,369,320,7,4.5,0,25,150,60,0,59,7
39658,Treats,Frosted Dr Pepper®,369,320,7,4.5,0,25,150,60,0,59,7
39660,Treats,Frosted Diet Dr Pepper®,369,260,7,4.5,0,25,150,45,0,44,7
39661,Treats,Frosted Barq’s® Root Beer,369,320,7,4.5,0,25,160,61,0,60,7
39663,Treats,Frosted Coke®,369,320,7,4.5,0,25,150,60,0,60,7
39665,Treats,Frosted Diet Coke®,369,260,7,4.5,0,25,160,45,0,44,7
39666,Treats,Frosted Coke® Zero Sugar,369,260,7,4.5,0,25,160,45,0,44,7
39667,Treats,Frosted Caffeine Free Diet Coke®,369,260,7,4.5,0,25,160,45,0,44,7
39668,Treats,Frosted Coca-Cola® Cherry,369,320,7,4.5,0,25,150,61,0,60,7
39669,Treats,Frosted Hi-C® Fruit Punch,369,320,7,4.5,0,25,140,61,0,60,7
39671,Treats,Frosted Hi-C® Orange,369,310,7,4.5,0,25,150,58,0,57,7
39673,Treats,Frosted Sprite®,369,320,7,4.5,0,25,160,59,0,59,7
39675,Treats,Frosted Caffeine Free Barq’s® Root Beer,369,320,7,4.5,0,25,160,62,0,61,7
39676,Treats,Frosted Mello Yello®,369,320,7,4.5,0,25,160,62,0,61,7
39678,Treats,Frosted Fanta® Orange,369,320,7,4.5,0,25,150,60,0,60,7
39679,Treats,Frosted Fanta® Strawberry,369,320,7,4.5,0,25,170,61,0,61,7
39682,Treats,Frosted Barq’s® Red Flash,369,320,7,4.5,0,25,150,61,0,60,7
39683,Treats,Frosted Powerade® Mountain Berry Blast,369,290,7,4.5,0,25,180,53,0,52,7
558,Treats,Peach Milkshake,412,600,18,11,0.5,70,360,101,1,98,11
10519,Treats | Coffee,Frosted Coffee,374,260,7,4.5,0,25,140,45,0,44,7
10529,Treats,Cookies & Cream Milkshake,409,630,25,15,1,85,430,91,1,84,13
10531,Treats,Chocolate Milkshake,409,600,22,14,1,85,350,93,1,90,12
10533,Treats,Strawberry Milkshake,409,560,18,11,0.5,70,370,92,1,87,10
10535,Treats,Vanilla Milkshake,409,580,23,15,1,90,390,82,1,80,13
10537,Treats,Chick-fil-A® Icedream® Cone,135,180,4,2.5,0,15,90,32,0,25,4
